Tilemapping

#tileset 
TilesetMarioKart.bmp 
16 16
tile0: vide 
tile1: vide
tile2: vide
tile3: vide
tile4: vide
tile5: vide
tile6: vide
tile7: vide
tile8: vide
tile9: vide
tile10: vide
tile11: vide
tile12: vide
tile13: vide
tile14: vide
tile15: vide
tile16: vide
tile17: vide 
tile18: vide
tile19: vide
tile20: vide
tile21: vide
tile22: vide
tile23: vide
tile24: vide
tile25: vide
tile26: vide
tile27: vide
tile28: vide
tile29: vide
tile30: vide
tile31: vide
tile32: vide
tile33: vide
tile34: vide 
tile35: vide
tile36: vide
tile37: vide
tile38: vide
tile39: vide
tile40: vide
tile41: vide
tile42: vide
tile43: vide
tile44: vide
tile45: vide
tile46: vide
tile47: vide
tile48: vide
tile49: vide
tile50: vide
tile51: vide 
tile52: vide
tile53: vide
tile54: vide
tile55: vide
tile56: vide
tile57: vide
tile58: vide
tile59: vide
tile60: vide 
tile61: vide
tile62: vide
tile63: vide
tile64: vide
tile65: vide
tile66: vide
tile67: vide
tile68: vide
tile69: vide
tile70: vide
tile71: vide
tile72: vide
tile73: vide
tile74: vide
tile75: vide
tile76: vide
tile77: vide
tile78: vide
tile79: vide
tile80: vide
tile81: vide
tile82: vide
tile83: vide
tile84: vide
tile85: vide
tile86: vide
tile87: vide
tile88: vide
tile89: vide
tile90: vide
tile91: vide
tile92: vide
tile93: vide
tile94: vide
tile95: vide
tile96: vide
tile97: vide
tile98: vide
tile99: vide
tile100: vide
tile101: vide
tile102: vide
tile103: vide
tile104: vide
tile105: vide
tile106: vide
tile107: vide
tile108: vide
tile109: vide
tile110: vide
tile111: vide
tile112: vide
tile113: vide
tile114: vide
tile115: vide
tile116: vide
tile117: vide 
tile118: vide
tile119: vide
tile120: vide
tile121: vide
tile122: vide
tile123: vide
tile124: vide
tile125: vide
tile126: vide
tile127: vide
tile128: vide
tile129: vide
tile130: vide
tile131: vide
tile132: vide
tile133: vide
tile134: vide 
tile135: vide
tile136: vide
tile137: vide
tile138: vide
tile139: vide
tile140: vide
tile141: vide
tile142: vide
tile143: vide
tile144: vide
tile145: vide
tile146: vide
tile147: vide
tile148: vide
tile149: vide
tile150: vide
tile151: vide 
tile152: vide
tile153: vide
tile154: vide
tile155: vide
tile156: vide
tile157: vide
tile158: vide
tile159: vide
tile160: vide 
tile161: vide
tile162: vide
tile163: vide
tile164: vide
tile165: vide
tile166: vide
tile167: vide
tile168: vide
tile169: vide
tile170: vide
tile171: vide
tile172: vide
tile173: vide
tile174: vide
tile175: vide
tile176: vide
tile177: vide
tile178: vide
tile179: vide
tile180: vide
tile181: vide
tile182: vide
tile183: vide
tile184: vide
tile185: vide
tile186: vide
tile187: vide
tile188: vide
tile189: vide
tile190: vide
tile191: vide
tile192: vide
tile193: vide
tile194: vide
tile195: vide
tile196: vide
tile197: vide
tile198: vide
tile199: vide
tile200: vide
tile201: vide
tile202: vide
tile203: vide
tile204: vide
tile205: vide
tile206: vide
tile207: vide
tile208: vide
tile209: vide
tile210: vide
tile211: vide
tile212: vide
tile213: vide
tile214: vide
tile215: vide
tile216: vide
tile217: vide 
tile218: vide
tile219: vide
tile220: vide
tile221: vide
tile222: vide
tile223: vide
tile224: vide
tile225: vide
tile226: vide
tile227: vide
tile228: vide
tile229: vide
tile230: vide
tile231: vide
tile232: vide
tile233: vide
tile234: vide 
tile235: vide
tile236: vide
tile237: vide
tile238: vide
tile239: vide
tile240: vide
tile241: plein
tile242: plein
tile243: plein
tile244: plein
tile245: plein
tile246: plein
tile247: plein
tile248: plein
tile249: plein
tile250: plein
tile251: vide 
tile252: vide
tile253: vide
tile254: vide
tile255: vide
tile256: vide

#level 
15 13 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
1 0 0 0 0 0 0 0 0 1 1 1 1 1 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0 0 3 4 0 0 0 2 2 2 2 0 0 2 2 
0 0 5 6 0 0 0 0 0 0 0 0 0 0 0 
0 0 5 6 0 0 0 0 0 0 0 0 0 0 0 
0 0 5 6 0 0 0 0 0 0 0 0 0 0 0 
7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 

#fin
